PlotId,PlotAge,Lat,Lon,Harv,Interval,InitBa,CutBa,ResidBa
148444751010478,1,33.114192,-86.017237,1,4,37.0260644798179,30.1592990647085,0.195986390810103
148445048010478,26,33.401155,-85.817816,0,4,17.6811220977979,0,16.4130502135444
148445376010478,62,33.834269,-85.5016,0,5,23.9713733353326,0,20.2949521288673
148445490010478,86,33.830777,-85.550397,0,6,27.5997877019427,0,23.9107337007426
148445564010478,75,33.785831,-85.557425,0,5,18.4873614351863,0,13.2094196520838
148445657010478,81,33.64989,-85.601091,0,6,31.6776676204809,0,28.6613505818686
148445745010478,52,33.524949,-85.655867,0,5,22.4956663569508,0,21.2106942893744
148446425010478,15,34.768795,-87.44318,0,6,5.27097069887521,0,5.27097069887521
148446474010478,55,34.702555,-87.806791,0,5,37.328627985681,0,35.147206181972
148446658010478,49,34.607718,-88.080842,0,5,8.63695877270329,0,6.07605533431418
148446830010478,5,34.674296,-87.93765,0,5,11.8996126875626,0,10.5242980550627
148448983010478,38,32.871677,-86.17288,0,5,34.4107615291243,0,29.1370169166621
148449200010478,25,32.952085,-86.298364,0,5,33.1259466395867,0,24.409486742687
148449323010478,6,33.042051,-86.079898,1,5,22.1064364396732,15.8285571595214,2.82938594466914
148449515010478,3,33.096925,-86.416821,1,5,17.995217620627,17.1485815322749,0.507793928823122
148449659010478,57,32.82808,-86.186285,0,5,25.4438453213896,0,23.6022710360828
148450047010478,4,32.999066,-86.451528,1,5,30.8212055727607,21.0886932441282,1.85114762729005
148450398010478,6,32.910711,-86.442074,0,5,0.188376000394178,0,0
148452985010478,19,34.111556,-86.92462,0,5,16.9154456698556,0,16.9154456698556
148453075010478,21,33.939712,-86.982739,1,6,19.8853396498232,2.98387254272118,11.7570523474579
148453359010478,2,34.086208,-86.743041,1,6,17.6606585213227,9.28899639703728,7.972907806651
148453426010478,3,33.967624,-86.98208,1,5,19.7620688257918,7.79160812830399,2.97659484539323
148459477010478,32,33.030009,-86.881465,1,8,31.3976923889336,22.4267245369953,8.25855455808108
175742964010854,82,31.466203,-87.947712,1,6,17.9770144178273,4.6165683168602,10.3433054269488
175742966010854,8,31.201791,-88.093756,0,6,0,0,0
175742967010854,6,31.552606,-88.054798,0,6,9.40300552481473,0,5.81823535411358
175742969010854,51,31.378371,-88.09612,1,6,26.5426188330923,2.5469942261296,19.546465458781
175742970010854,6,31.246259,-88.146146,0,6,43.5547878853234,0,40.3682614159802
175742971010854,23,31.408908,-88.20941,0,6,11.8231581199123,0,10.9983105644694
175742972010854,34,31.68435,-88.155582,1,5,40.6458318720866,30.6030772738332,7.93831535741098
175742973010854,8,31.459781,-88.203406,0,6,1.33159227158637,0,0
175742974010854,12,31.557294,-88.251565,0,6,6.0693240319001,0,6.0693240319001
175742975010854,34,31.678636,-88.301506,1,6,22.6880348757593,8.70749224222048,11.306098700341
148458479010478,19,31.909007,-85.501503,1,5,23.0862775764512,10.2089243157622,10.1308639219404
148458699010478,15,31.866582,-85.508912,1,7,20.9566303922353,4.23182917365513,3.00497893095062
148459049010478,15,32.125674,-85.291655,1,7,26.036783059324,10.5296658524334,3.7594667588716
148460887010478,60,31.99953,-85.607279,1,6,35.7808910188717,6.23398977304466,29.5469012458271
148461128010478,14,32.175855,-85.724217,0,7,14.7230262023878,0,12.5688400516976
148461233010478,21,32.032805,-85.763784,1,7,14.1372661119475,6.86020183195502,6.82704534893896
148461459010478,6,31.686362,-86.467319,1,6,28.2130292850338,28.2130292850338,0
148461679010478,1,31.765382,-86.574456,1,6,18.4648500182254,15.8492263306338,0.720860882321918
148461909010478,13,31.729385,-86.570658,1,6,10.4800156745898,0.694579495987264,7.53775189969603
148462067010478,15,31.640793,-86.624038,0,6,17.5570726580817,0,12.6011540921185
148462471010478,57,32.381035,-86.92963,0,6,25.1849933295878,0,16.3227815990436
148462524010478,40,32.606782,-87.001236,1,6,27.5885957149189,4.21171061681303,19.2063762097037
148462807010478,39,32.11556,-87.190029,0,6,28.509588201444,0,27.5630387928537
148463012010478,17,32.206633,-87.310183,1,5,26.8076575371256,10.3877056985363,14.0512421542023
148463211010478,4,32.254951,-87.246192,1,6,7.13252371875342,3.45938710483879,0
139994360010854,14,33.000043,-85.31144,0,6,9.98478201867058,0,7.54553886476645
139994361010854,4,32.822647,-85.463634,1,5,33.2060585276637,27.5291179968049,1.24064828095195
148460329010478,56,32.971117,-87.349677,0,7,14.2858883813021,0,14.2858883813021
148460383010478,76,32.915867,-86.918863,0,7,23.7837891899387,0,19.4325547488337
148460705010478,15,33.805704,-86.617365,0,6,10.823423483638,0,9.62701294334213
148460824010478,51,33.848309,-86.610529,0,6,13.6789412555578,0,12.1011194545381
148463567010478,66,34.519704,-85.541366,1,6,30.0650374915975,4.70799346905151,23.0943418085911
148465659010478,55,34.098991,-86.027905,0,5,22.1558939651029,0,20.93099363772
148465831010478,42,33.968289,-86.338301,0,6,5.25719741900072,0,5.25719741900072
148465955010478,111,33.68613,-87.54767,0,6,22.7779877529443,0,21.7286580803486
148466043010478,19,33.552045,-87.706523,1,5,25.3021112861547,6.50861686481932,16.4272008253137
106334190010478,46,30.910634,-87.911595,0,6,52.230825802691,0,50.2420273409294
148464301010478,27,32.646741,-86.088888,0,5,8.4989117626957,0,7.16414169308242
148464395010478,37,32.646089,-86.13465,0,5,16.3120118675431,0,15.8199737545135
148464491010478,13,32.714846,-86.246554,0,6,9.80595242611569,0,9.80595242611569
148464613010478,18,32.43861,-86.135783,0,3,13.3419872123495,0,13.3419872123495
148464938010478,35,31.078344,-87.21871,0,5,20.3733397964495,0,16.6563908264858
148465049010478,14,31.167292,-87.021841,1,6,8.21058482359461,0.793786507031726,5.59587369194762
148465195010478,20,31.12618,-87.232068,0,4,7.24913315951515,0,6.74993675847058
148485091010478,22,31.077324,-86.123386,1,6,26.9296914980247,16.2281262660316,8.52152745463135
148486083010478,51,31.173079,-85.91948,0,3,13.7836613709963,0,12.172371504945
148488840010478,8,31.640939,-85.149666,0,5,0,0,0
148488929010478,40,31.555606,-85.36043,0,5,14.9015965367817,0,14.9015965367817
148489026010478,60,31.484183,-85.227179,0,5,43.4238177564642,0,41.9194152702994
148489292010478,45,31.036981,-85.097969,0,5,45.8967000700763,0,44.7807606437412
148490738010478,60,33.487855,-86.592814,0,5,18.0662422603981,0,17.1169833845406
148493783010478,12,34.908628,-87.659881,0,6,15.3577158288427,0,13.8878354359832
148503186010478,75,34.533292,-86.600777,0,6,21.3435905114499,0,16.4574184515819
148503953010478,22,32.717879,-87.111465,0,7,11.4260306700069,0,9.98520897769412
148505174010478,85,33.473553,-88.026992,0,5,23.4966610655224,0,12.956496390667
148466731010478,50,33.77522,-87.918547,0,5,34.5234435410405,0,31.736081538408
148467169010478,33,34.45888,-87.807515,0,5,20.7821258125453,0,20.0988097678443
148467978010478,51,34.380643,-87.760202,0,6,23.8861877255327,0,21.6697775662102
148470404010478,30,34.509735,-87.812751,0,6,30.2669562962028,0,11.9154416882022
